Fecha,Hora,WS
2021-02-08,3,0.224
2021-02-08,4,0.21
2021-02-08,5,0.172
2021-02-08,6,0.282
2021-02-08,7,0.302
2021-02-08,8,0.179
2021-02-08,9,0.297
2021-02-08,10,0.792
2021-02-08,11,1.136
2021-02-08,12,1.052
2021-02-08,13,1.152
2021-02-08,14,1.321
2021-02-08,15,1.488
2021-02-08,16,1.343
2021-02-08,17,1.464
2021-02-08,18,1.405
2021-02-08,19,0.814
2021-02-08,20,0.305
2021-02-08,21,0.34
2021-02-08,22,0.694
2021-02-08,23,0.258
2021-02-09,0,0.227
2021-02-09,1,0.253
2021-02-09,2,0.344
2021-02-09,3,0.412
2021-02-09,4,0.211
2021-02-09,5,0.158
2021-02-09,6,0.076
2021-02-09,7,0.195
2021-02-09,8,0.29
2021-02-09,9,0.823
2021-02-09,10,1.719
2021-02-09,11,1.604
2021-02-09,12,0.751
2021-02-09,13,0.787
2021-02-09,14,1.164
2021-02-09,15,1.357
2021-02-09,16,1.245
2021-02-09,17,1.73
2021-02-09,18,1.344
2021-02-09,19,0.538
2021-02-09,20,0.093
2021-02-09,21,0.233
2021-02-09,22,0.46
2021-02-09,23,0.505
2021-02-10,0,0.288
2021-02-10,1,0.544
2021-02-10,2,0.488
2021-02-10,3,0.038
2021-02-10,4,0.072
2021-02-10,5,0.037
2021-02-10,6,0.153
2021-02-10,7,0.45
2021-02-10,8,0.327
2021-02-10,9,0.298
2021-02-10,10,0.691
2021-02-10,11,0.939
2021-02-10,12,1.289
2021-02-10,13,1.192
2021-02-10,14,1.463
2021-02-10,15,1.847
2021-02-10,16,1.862
2021-02-10,17,1.916
2021-02-10,18,1.626
2021-02-10,19,1.125
2021-02-10,20,0.551
2021-02-10,21,0.147
2021-02-10,22,0.287
2021-02-10,23,0.157
2021-02-11,0,0.268
2021-02-11,1,1.347
2021-02-11,2,0.926
2021-02-11,3,0.89
2021-02-11,4,0.373
2021-02-11,5,0.128
2021-02-11,6,0.284
2021-02-11,7,0.329
2021-02-11,8,0.253
2021-02-11,9,0.453
2021-02-11,10,1.08
2021-02-11,11,1.462
2021-02-11,12,2.15
2021-02-11,13,2.381
2021-02-11,14,2.16
2021-02-11,15,1.925
2021-02-11,16,1.889
2021-02-11,17,1.856
2021-02-11,18,1.609
2021-02-11,19,0.975
2021-02-11,20,0.294
2021-02-11,21,0.519
2021-02-11,22,0.981
2021-02-11,23,1.601
2021-02-12,0,1.378
2021-02-12,1,1.214
2021-02-12,2,0.375
2021-02-12,3,0.031
2021-02-12,4,0.067
2021-02-12,5,0.004
2021-02-12,6,0.095
2021-02-12,7,0.436
2021-02-12,8,0.38
2021-02-12,9,0.752
2021-02-12,10,1.493
2021-02-12,11,1.01
2021-02-12,12,1.528
2021-02-12,13,2.429
2021-02-12,14,2.053
2021-02-12,15,2.289
2021-02-12,16,1.598
2021-02-12,17,1.855
2021-02-12,18,1.25
2021-02-12,19,0.732
2021-02-12,20,0.598
2021-02-12,21,1.362
2021-02-12,22,0.422
2021-02-12,23,1.118
2021-02-13,0,1.607
2021-02-13,1,1.399
2021-02-13,2,2.18
2021-02-13,3,0.714
